brand,category,gender,image_url,original_price,price,sku,title,url,variants
adidas Originals,Apparel,Kids,https://asset.snipes.com/images/02516377_1/adidas-originals-teamgeist-track-top-nero-84541,59.99,30.0,JY6323,Teamgeist Track Top,https://www.snipes.com/it-it/p/adidas-originals-teamgeist-track-top-nero-84541,"{'140': {'availability': False, 'price': 30.0}, '146': {'availability': False, 'price': 30.0}, '152': {'availability': False, 'price': 30.0}, '158': {'availability': False, 'price': 30.0}, '164': {'availability': False, 'price': 30.0}, '170': {'availability': True, 'price': 30.0}, '176': {'availability': True, 'price': 30.0}}"
adidas Originals,Apparel,Kids,https://asset.snipes.com/images/02571796_1/adidas-originals-adidas-x-minecraft-jacket-nero-96323,89.99,50.0,JW7731,adidas x Minecraft Jacket,https://www.snipes.com/it-it/p/adidas-originals-adidas-x-minecraft-jacket-nero-96323,"{'140': {'availability': False, 'price': 50.0}, '152': {'availability': False, 'price': 50.0}, '164': {'availability': True, 'price': 50.0}, '176': {'availability': False, 'price': 50.0}}"
adidas Originals,Apparel,Kids,https://asset.snipes.com/images/02516362_1/adidas-originals-track-top-grigio-84537,49.99,30.0,KC5045,Track Top,https://www.snipes.com/it-it/p/adidas-originals-track-top-grigio-84537,"{'140': {'availability': True, 'price': 30.0}, '146': {'availability': False, 'price': 30.0}, '152': {'availability': False, 'price': 30.0}, '158': {'availability': False, 'price': 30.0}, '164': {'availability': False, 'price': 30.0}, '170': {'availability': False, 'price': 30.0}, '176': {'availability': False, 'price': 30.0}}"
Jordan,Apparel,Kids,https://asset.snipes.com/images/02522528_1/jordan-jdb-mj-brooklyn-fleece-hoodie-marrone-91576,49.99,30.0,95F116-X25,JDB MJ Brooklyn Fleece Hoodie,https://www.snipes.com/it-it/p/jordan-jdb-mj-brooklyn-fleece-hoodie-marrone-91576,"{'128-132': {'availability': True, 'price': 30.0}, '132-147': {'availability': False, 'price': 30.0}, '147-163': {'availability': False, 'price': 30.0}, '163-175': {'availability': False, 'price': 30.0}}"
New Balance,Apparel,Kids,https://asset.snipes.com/images/02494646_1/new-balance-set-stacked-logo-french-terry-zip-hoodie-and-jogger-verde-49058,84.99,60.0,LAKG0240_MCN,Set Stacked Logo French Terry Zip Hoodie and Jogger,https://www.snipes.com/it-it/p/new-balance-set-stacked-logo-french-terry-zip-hoodie-and-jogger-verde-49058,"{'134': {'availability': False, 'price': 60.0}, '140': {'availability': False, 'price': 60.0}, '146': {'availability': False, 'price': 60.0}, '158': {'availability': False, 'price': 60.0}, '170': {'availability': False, 'price': 60.0}, '176': {'availability': True, 'price': 60.0}}"
Nike,Apparel,Kids,https://asset.snipes.com/images/02524542_1/nike-sportswear-tech-fleece-full-zip-hoodie-rosso-91806,79.99,60.0,HV5867-653,Sportswear Tech Fleece Full-Zip Hoodie,https://www.snipes.com/it-it/p/nike-sportswear-tech-fleece-full-zip-hoodie-rosso-91806,"{'137': {'availability': True, 'price': 60.0}, '147': {'availability': False, 'price': 60.0}, '158': {'availability': False, 'price': 60.0}, '170': {'availability': False, 'price': 60.0}}"
Jordan,Apparel,Kids,https://asset.snipes.com/images/02522389_1/jordan-stretch-high-brand-read-fleece-pants-beige-91586,49.99,30.0,95D666-X27,Stretch High-Brand-Read Fleece Pants,https://www.snipes.com/it-it/p/jordan-stretch-high-brand-read-fleece-pants-beige-91586,"{'128-132': {'availability': False, 'price': 30.0}, '132-147': {'availability': True, 'price': 30.0}, '147-163': {'availability': False, 'price': 30.0}, '163-175': {'availability': False, 'price': 30.0}}"
Nike,Apparel,Kids,https://asset.snipes.com/images/02524936_1/nike-sportswear-club-fleece-crew-neck-sweatshirt-rosa-92043,42.99,30.0,FZ9244-690,Sportswear Club Fleece Crew-Neck Sweatshirt,https://www.snipes.com/it-it/p/nike-sportswear-club-fleece-crew-neck-sweatshirt-rosa-92043,"{'137': {'availability': True, 'price': 30.0}, '147': {'availability': False, 'price': 30.0}, '158': {'availability': False, 'price': 30.0}, '170': {'availability': False, 'price': 30.0}}"
Jordan,Apparel,Kids,https://asset.snipes.com/images/02024435_1/jordan-high-brand-read-jumpman-hooded-coverall-rosa-6940,34.99,25.0,55A594-A9Y,High-Brand-Read Jumpman Hooded Coverall,https://www.snipes.com/it-it/p/jordan-high-brand-read-jumpman-hooded-coverall-rosa-6940,"{'0-3 M': {'availability': False, 'price': 25.0}, '3 M': {'availability': False, 'price': 25.0}, '6 M': {'availability': False, 'price': 25.0}, '9 M': {'availability': True, 'price': 25.0}}"
Nike,Apparel,Kids,https://asset.snipes.com/images/02494579_1/nike-bond-quilted-jacket-nero-49041,84.99,50.0,LAKB0036_BK,Bond Quilted Jacket,https://www.snipes.com/it-it/p/nike-bond-quilted-jacket-nero-49041,"{'128': {'availability': False, 'price': 50.0}, '134': {'availability': False, 'price': 50.0}, '140': {'availability': True, 'price': 50.0}, '146': {'availability': False, 'price': 50.0}, '158': {'availability': False, 'price': 50.0}, '170': {'availability': False, 'price': 50.0}, '176': {'availability': False, 'price': 50.0}}"
Jordan,Apparel,Kids,https://asset.snipes.com/images/02554286_1/jordan-jdb-mj-mvp-high-brand-read-jumpman-fleece-pullover-nero-95052,59.99,40.0,95F097-023,JDB MJ MVP High-Brand-Read Jumpman Fleece Pullover,https://www.snipes.com/it-it/p/jordan-jdb-mj-mvp-high-brand-read-jumpman-fleece-pullover-nero-95052,"{'128-132': {'availability': True, 'price': 40.0}, '132-147': {'availability': False, 'price': 40.0}, '147-163': {'availability': False, 'price': 40.0}, '163-175': {'availability': False, 'price': 40.0}}"
